Date,USD_JPY,CPI,change_USD_JPY,change_CPI
1-Jan,109.19,2.070508,-0.031058656,-0.018289474
1-Feb,106.67,2.211795,-0.023079037,0.068237843
1-Mar,106.28,2.359711,-0.003656136,0.066875999
1-Apr,109.33,2.462744,0.028697779,0.043663398
1-May,108.82,2.801012,-0.004664776,0.137354106
1-Jun,110.68,2.871548,0.017092446,0.025182327
1-Jul,111.88,2.949515,0.010842067,0.027151557
1-Aug,111.04,2.69918,-0.007508044,-0.084873276
1-Sep,113.69,2.276972,0.023865274,-0.156420839
1-Oct,112.94,2.52247,-0.006596886,0.107817751
1-Nov,113.47,2.176601,0.004692757,-0.137115209
